PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
PIETRA LIGURE, 37, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 42, 43, 43, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 46, 46, 45, 46, 46, 45, 45, 45, 45, 45, 45
PIETRA MARAZZI, 40, 41, 40, 41, 42, 42, 43, 43, 43, 44, 44, 45, 44, 43, 43, 44, 44, 43, 43, 42, 43, 43, 44, 44, 45, 45, 46, 46, 46, 47, 43, 43, 44, 44, 45, 45
PIETRABBONDANTE, 40, 41, 41, 42, 42, 43, 43, 43, 43, 43, 45, 45, 45, 45, 45, 44, 44, 45, 44, 44, 44, 45, 45, 45, 45, 45, 45, 46, 47, 48, 44, 44, 44, 44, 45, 45
PIETRABRUNA, 45, 46, 46, 47, 47, 48, 48, 48, 48, 48, 48, 48, 48, 47, 47, 47, 47, 46, 47, 47, 46, 46, 46, 45, 45, 46, 46, 46, 46, 46, 44, 46, 45, 44, 45, 45
PIETRACAMELA, 38, 38, 38, 38, 38, 39, 39, 40, 40, 42, 43, 42, 42, 43, 44, 45, 45, 46, 47, 47, 47, 47, 46, 46, 47, 47, 47, 49, 49, 50, 47, 47, 47, 47, 48, 48
PIETRACATELLA, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 40, 39, 40, 40, 40, 40, 41, 41, 42, 41, 42, 42, 42, 42, 43, 43, 42, 42, 43, 41, 41, 42, 42, 42, 43
PIETRACUPA, 43, 45, 45, 46, 48, 49, 50, 50, 49, 50, 48, 48, 49, 49, 48, 48, 49, 47, 48, 46, 46, 46, 46, 45, 46, 46, 47, 47, 47, 48, 46, 47, 46, 44, 46, 46
PIETRADEFUSI, 37, 37, 37, 38, 38, 38, 38, 37, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 41, 41, 42, 43, 43, 43, 43, 43, 43, 43, 43, 44, 42, 42, 42, 43, 43, 43
PIETRAFERRAZZANA, 40, 39, 42, 37, 38, 39, 39, 39, 39, 40, 41, 41, 41, 41, 41, 41, 41, 43, 42, 42, 43, 44, 44, 44, 45, 46, 47, 48, 47, 48, 43, 44, 44, 43, 44, 45
PIETRAFITTA, 33, 33, 34, 34, 34, 34, 33, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 40, 40, 40, 37, 37, 37, 37, 38, 38
PIETRAGALLA, 37, 37, 37, 37, 38, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 40, 40, 40, 40, 40, 41
PIETRALUNGA, 39, 39, 39, 40, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 42, 42, 43, 43, 44, 44, 44, 45, 45, 45, 46, 46, 43, 43, 44, 44, 44, 45
PIETRAMELARA, 32, 32, 32, 32, 33, 33, 33, 33, 33, 34, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 36, 37, 37, 37, 37, 38
PIETRAMONTECORVINO, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 41, 41, 42, 42, 42, 42
PIETRANICO, 44, 44, 43, 43, 43, 44, 45, 44, 45, 44, 43, 43, 45, 47, 46, 46, 46, 46, 46, 45, 44, 44, 46, 46, 46, 45, 44, 45, 44, 45, 44, 44, 45, 44, 44, 44
PIETRAPAOLA, 30, 31, 31, 30, 31, 31, 31, 31, 32, 32, 33, 34, 34, 34, 34, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 41, 41, 37, 37, 38, 38, 39, 39
PIETRAPERTOSA, 37, 37, 38, 38, 38, 39, 39, 39, 39, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 41, 41, 42, 42, 42, 42, 43, 43, 43, 44, 44, 40, 41, 42, 42, 43, 43
PIETRAPERZIA, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 39, 39, 39, 40, 40, 40
PIETRAPORZIO, 40, 41, 42, 40, 40, 43, 44, 44, 45, 48, 47, 48, 46, 47, 48, 48, 47, 47, 45, 46, 47, 48, 50, 49, 52, 54, 54, 54, 54, 52, 51, 50, 51, 50, 53, 54
PIETRAROJA, 40, 41, 42, 42, 43, 42, 43, 42, 42, 42, 42, 42, 42, 43, 43, 43, 44, 43, 44, 44, 44, 43, 43, 43, 44, 45, 45, 45, 46, 46, 44, 44, 43, 43, 44, 45
PIETRARUBBIA, 39, 39, 39, 40, 41, 41, 41, 41, 40, 41, 41, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 45, 45, 43, 43, 44, 43, 43, 44
PIETRASANTA, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 42, 42, 43, 43, 43, 43
PIETRASTORNINA, 39, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 44, 42, 42, 42, 42, 43, 43
PIETRAVAIRANO, 33, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 37, 38, 38, 39, 39, 39
PIETRELCINA, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 40, 41, 41, 41, 41, 41
PIEVE A NIEVOLE, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 40, 40, 41, 41, 41, 41
PIEVE ALBIGNOLA, 39, 39, 38, 39, 40, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 41, 41, 41, 41, 42, 42, 42, 41, 42, 42, 42, 42, 43, 44, 42, 42, 41, 41, 42, 42
PIEVE D'ALPAGO, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 41, 41, 41, 41, 41, 42
PIEVE D'OLMI, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 42, 41, 42, 42, 42, 42, 42
PIEVE DEL CAIRO, 40, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 43, 43, 43, 43, 43, 43
PIEVE DI BONO, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 42, 43, 43, 43, 43, 44, 40, 41, 41, 41, 42, 43
PIEVE DI CADORE, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 44, 44, 41, 42, 42, 42, 42, 42
PIEVE DI CENTO, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 41, 42, 42, 42, 42, 43, 41, 41, 41, 42, 41, 42
PIEVE DI CORIANO, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 43, 43, 43, 43, 44, 43, 44, 43, 43, 43, 43, 42, 43, 42, 42, 41, 41, 42, 42, 41, 43, 43, 43, 43, 42, 41
PIEVE DI SOLIGO, 33, 33, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 38, 39, 39, 38, 38, 38, 39, 38, 39, 39, 39, 39, 39, 39, 38, 38, 39
PIEVE DI TECO, 45, 45, 45, 45, 45, 45, 45, 46, 46, 45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 45, 44, 44, 44, 44, 45, 44, 44, 44, 44, 45, 44, 44, 44, 44, 44
PIEVE EMANUELE, 27, 26, 26, 27, 27, 27, 28, 28, 29, 29, 30, 30, 31, 31, 32, 32, 33, 33, 34, 34, 35, 36, 36, 37, 37, 38, 38, 38, 39, 39, 35, 35, 36, 37, 37, 38
PIEVE FISSIRAGA, 31, 30, 30, 30, 30, 31, 31, 31, 31, 32, 33, 33, 33, 33, 34, 34, 33, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 38, 34, 34, 34, 35, 35, 36
PIEVE FOSCIANA, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 43, 43, 44, 44, 44, 44
PIEVE LIGURE, 38, 39, 38, 39, 39, 39, 40, 40, 40, 41, 42, 42, 42, 43, 43, 44, 44, 44, 43, 44, 44, 43, 44, 44, 44, 44, 44, 45, 45, 45, 44, 44, 44, 45, 45, 44
PIEVE PORTO MORONE, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 43, 43, 42, 43, 43, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 44, 44, 44, 42, 43, 43, 43, 43, 43
PIEVE SAN GIACOMO, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 41, 41, 41, 42, 42, 40, 41, 41, 41, 41, 41
PIEVE SANTO STEFANO, 40, 40, 41, 41, 41, 41, 42, 42, 41, 41, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44
PIEVE TESINO, 39, 39, 38, 38, 37, 37, 38, 37, 38, 38, 39, 40, 39, 38, 38, 39, 39, 39, 40, 40, 41, 42, 42, 43, 43, 43, 43, 44, 45, 46, 41, 42, 42, 43, 43, 43
PIEVE TORINA, 41, 42, 41, 41, 41, 42, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 44, 44, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44
PIEVE VERGONTE, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 41, 41, 42, 42, 42, 42
PIEVEBOVIGLIANA, 42, 42, 42, 44, 44, 44, 44, 44, 44, 44, 44, 44, 43, 43, 43, 44, 43, 44, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 45, 45, 43, 44, 44, 44, 44, 44
PIEVEPELAGO, 41, 41, 41, 41, 42, 42, 42, 43, 42, 42, 43, 43, 43, 43, 43, 42, 43, 42, 43, 43, 43, 43, 43, 43, 44, 43, 44, 44, 43, 44, 43, 43, 43, 43, 43, 43
PIGLIO, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 39, 40, 40, 40, 41, 41
PIGNATARO INTERAMNA, 36, 36, 36, 36, 36, 36, 36, 36, 37, 36, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 40, 41, 41, 41, 39, 39, 39, 40, 40, 40
PIGNATARO MAGGIORE, 32, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 36, 36, 37, 37, 37, 37
PIGNA, 46, 47, 48, 48, 48, 48, 47, 47, 47, 47, 47, 47, 48, 48, 47, 47, 47, 47, 48, 47, 48, 48, 48, 48, 47, 47, 47, 46, 47, 47, 47, 47, 48, 47, 46, 47
PIGNOLA, 31, 30, 31, 31, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 38, 35, 35, 36, 36, 37, 37
PIGNONE, 38, 39, 39, 40, 41, 42, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 46, 47, 46, 45, 44, 45, 45, 46, 46
PIGRA, 39, 41, 41, 41, 41, 41, 42, 43, 42, 42, 44, 44, 45, 44, 44, 44, 44, 42, 43, 42, 42, 43, 42, 43, 43, 44, 43, 44, 45, 45, 42, 42, 42, 43, 43, 44
PILA, 45, 43, 45, 43, 40, 39, 43, 41, 40, 40, 41, 41, 42, 42, 42, 43, 45, 44, 44, 45, 45, 44, 44, 45, 45, 46, 45, 44, 44, 42, 45, 45, 45, 44, 44, 45
PIMENTEL, 30, 31, 31, 31, 32, 32, 33, 33, 33, 33, 34, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 38, 39, 39, 39, 40, 40
PIMONTE, 26, 26, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 28, 29, 29, 29, 30, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 31, 31, 31, 32, 32, 32
PINAROLO PO, 39, 39, 40, 40, 40, 40, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 44, 44, 45, 45, 45, 45
PINASCA, 38, 38, 39, 40, 40, 40, 41, 41, 41, 42, 41, 41, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 44, 45, 45, 44, 44, 44, 44, 44, 45
PINCARA, 35, 36, 36, 36, 36, 36, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 42, 42, 42, 43, 44, 44
PINEROLO, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 42, 42, 42, 42, 42, 43
PINETO, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 38, 38, 39, 39, 39, 39
PINO D'ASTI, 47, 49, 45, 44, 44, 46, 46, 46, 46, 47, 50, 50, 51, 48, 47, 47, 46, 45, 45, 44, 44, 42, 43, 47, 45, 46, 46, 46, 45, 45, 44, 42, 44, 46, 45, 46
PINO SULLA SPONDA DEL LAGO MAGGIORE, 32, 32, 32, 33, 34, 35, 36, 36, 37, 33, 34, 35, 35, 36, 37, 38, 39, 40, 40, 40, 39, 38, 39, 39, 40, 41, 42, 41, 41, 41, 39, 38, 40, 40, 40, 41
PINO TORINESE, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 42, 43, 43, 43, 43, 43
PINZANO AL TAGLIAMENTO, 39, 39, 39, 40, 40, 40, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 43, 44, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 43, 43, 43, 44, 44, 44
PINZOLO, 32, 33, 33, 34, 34, 35, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 38, 38, 38, 39, 39, 39
PIOBBICO, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 41, 41, 41, 41, 41, 41, 41, 42, 42
PIOBESI D'ALBA, 34, 34, 34, 33, 33, 33, 33, 34, 34, 34, 35, 36, 36, 36, 37, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 37, 37, 37, 38, 39, 39
PIOBESI TORINESE, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 39, 39, 39, 40, 40, 40
PIODE, 38, 38, 37, 36, 38, 37, 37, 37, 35, 35, 38, 39, 38, 39, 41, 41, 40, 41, 41, 40, 42, 42, 41, 42, 42, 43, 45, 45, 46, 46, 42, 42, 41, 43, 43, 43
PIOLTELLO, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 37, 38, 38, 38, 38, 38
PIOMBINO DESE, 32, 32, 33, 33, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 37, 37, 37, 38, 38, 38
PIOMBINO, 39, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45
PIORACO, 42, 42, 42, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 43, 44, 44, 44, 44, 45, 46, 46, 46, 46, 45, 45, 46, 46, 46, 45, 45, 45, 45, 45, 45, 44, 46
PIOSSASCO, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 39, 39, 39, 39, 39, 39
PIOVE DI SACCO, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 39, 40, 40, 40, 40, 40
PIOVENE ROCCHETTE, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 39, 39, 39, 39, 40, 40
PIOVERA, 40, 39, 39, 40, 40, 41, 41, 40, 41, 41, 42, 43, 43, 44, 44, 44, 43, 44, 45, 45, 44, 43, 43, 43, 44, 44, 44, 44, 45, 46, 44, 43, 43, 43, 43, 44
PIOVÀ MASSAIA, 47, 47, 47, 47, 47, 48, 47, 48, 48, 47, 48, 49, 49, 48, 48, 47, 47, 48, 48, 46, 45, 44, 44, 45, 45, 45, 45, 45, 45, 46, 46, 45, 45, 45, 45, 45
PIOZZANO, 43, 43, 44, 44, 44, 44, 45, 45, 44, 46, 47, 47, 47, 47, 47, 46, 46, 47, 46, 45, 45, 46, 45, 45, 45, 44, 45, 46, 47, 48, 45, 45, 45, 45, 45, 45
PIOZZO, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 48, 47, 46, 46, 45, 45, 46, 45, 44, 44, 44, 44, 44, 44, 44, 44, 44, 43, 43, 44, 44, 44, 43, 44, 44
PIRAINO, 36, 37, 36, 36, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 41, 41, 41, 41, 41
PISANO, 38, 37, 37, 38, 37, 36, 37, 37, 39, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 42, 43, 42, 44, 40, 40, 41, 40, 41, 41
PISA, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 44, 42, 42, 42, 43, 43, 43
PISCINA, 35, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 41, 40, 41, 41, 41, 42, 42, 39, 40, 40, 41, 40, 41
PISCIOTTA, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 45, 45, 45, 45, 45, 43, 43, 43, 44, 45, 45
PISOGNE, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 39, 40, 40, 40, 40, 40
PISONIANO, 42, 42, 43, 43, 43, 42, 43, 42, 42, 40, 41, 41, 42, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 43, 44, 44, 42, 42, 42, 43, 44, 44, 44, 43, 44
PISTICCI, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 38, 38, 38, 39, 39, 39
PISTOIA, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 43, 43, 43, 43, 43, 43
PITEGLIO, 42, 42, 43, 43, 44, 44, 44, 45, 45, 45, 46, 46, 46, 47, 47, 46, 47, 47, 48, 48, 48, 48, 48, 48, 48, 48, 49, 49, 49, 49, 47, 48, 48, 48, 48, 49
PITIGLIANO, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 46, 45, 46, 46, 46, 45, 45, 45, 45, 45, 46
PIUBEGA, 37, 37, 37, 37, 38, 37, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 41, 41, 41, 41, 41, 41, 41, 42, 41, 41, 42, 41, 41, 41, 41, 41, 41
PIURO, 31, 31, 32, 32, 32, 33, 33, 34, 34, 34, 34, 34, 34, 34, 35, 35, 36, 36, 36, 36, 36, 37, 37, 38, 38, 39, 39, 40, 40, 40, 36, 37, 37, 38, 38, 39
PIVERONE, 41, 42, 41, 41, 42, 42, 42, 42, 43, 43, 42, 42, 42, 42, 43, 43, 42, 43, 43, 42, 43, 42, 42, 42, 44, 43, 43, 43, 43, 42, 42, 42, 42, 42, 43, 43
PIZZALE, 43, 44, 44, 45, 45, 47, 47, 47, 47, 47, 47, 47, 47, 47, 48, 48, 48, 47, 47, 47, 45, 46, 45, 46, 46, 46, 45, 45, 45, 45, 46, 46, 46, 47, 46, 46
PIZZIGHETTONE, 36, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 42, 42, 42, 42, 42, 43
PIZZOFERRATO, 33, 34, 34, 34, 35, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 43, 43, 45, 45, 46, 46, 46, 42, 42, 42, 43, 43, 44
PIZZOLI, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 39, 39, 39, 38, 39, 39, 39, 39, 39
PIZZONE, 42, 41, 41, 42, 42, 44, 42, 43, 44, 45, 44, 44, 43, 44, 43, 43, 43, 43, 44, 44, 44, 45, 45, 45, 44, 44, 45, 45, 45, 45, 44, 45, 46, 46, 46, 45
PIZZONI, 33, 33, 34, 34, 35, 36, 36, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 40, 41, 42, 42, 42, 43, 43, 44, 44, 41, 41, 41, 42, 42, 42
PIZZO, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 37, 37, 38, 38, 38, 39
PLACANICA, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 39, 40, 40, 40, 41, 42, 43, 43, 43, 43, 44, 44, 44, 45, 41, 41, 42, 43, 43, 43
PLATACI, 35, 36, 36, 37, 38, 38, 38, 39, 39, 40, 41, 41, 42, 42, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 44, 45, 46, 47, 47, 47, 44, 44, 44, 44, 44, 45
PLATANIA, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 39, 39, 39, 40, 41, 41
PLATÌ, 31, 31, 30, 30, 31, 31, 30, 30, 30, 30, 31, 31, 31, 31, 32, 32, 32, 31, 31, 32, 32, 32, 32, 32, 32, 33, 33, 33, 33, 33, 32, 32, 32, 32, 32, 33
PLAUS, 27, 26, 29, 29, 30, 29, 30, 31, 31, 30, 33, 33, 33, 34, 33, 33, 33, 33, 32, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 34, 31, 31, 32, 31, 32, 33
PLESIO, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 44, 44, 44, 45, 43, 42, 43, 43, 43, 43
PLOAGHE, 33, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 34, 35, 35, 35, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 37, 38, 38, 39, 39, 40
PLODIO, 37, 36, 36, 38, 38, 37, 39, 39, 39, 39, 40, 40, 41, 41, 42, 41, 42, 41, 42, 42, 43, 43, 42, 43, 42, 42, 42, 43, 44, 44, 43, 43, 43, 43, 42, 42
POCAPAGLIA, 37, 38, 38, 38, 38, 39, 39, 39, 39, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 40, 40, 41, 41, 39, 40, 40, 40, 40, 41
POCENIA, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 40, 41, 41, 41, 41, 41
PODENZANA, 41, 41, 41, 41, 40, 40, 40, 41, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 42, 43, 43, 43, 42, 42
PODENZANO, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 41, 41, 41, 41, 41, 41
POFI, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 41, 41, 42, 42, 42, 43
